	id_cp_interaction	partner_a	partner_b	protein_name_a	protein_name_b	annotation_strategy	source	gene_name_a	gene_name_b	gene_name_mouse_a	gene_name_mouse_b
1115	CPI-SS0B337B316	Q02763	Q15389	TIE2_HUMAN	ANGP1_HUMAN	curated	uniprot	TEK	ANGPT1	Tek	Angpt1
1116	CPI-SS0B34CBA4B	O43921	P21709	EFNA2_HUMAN	EPHA1_HUMAN	curated	PMID: 15114347	EFNA2	EPHA1	Efna2	Epha1
1117	CPI-SS0B3829651	Q8N126	Q9H4G0	CADM3_HUMAN	E41L1_HUMAN	curated	uniprot	CADM3	EPB41L1	Cadm3	Epb41l1
1118	CPI-SS0B42AD9EF	P46531	P56705	NOTC1_HUMAN	WNT4_HUMAN	I2D		NOTCH1	WNT4	Notch1	Wnt4
1120	CPI-SS0B6643F31	P46094	P47992	XCR1_HUMAN	XCL1_HUMAN	curated	PMID: 24218476	XCR1	XCL1	Xcr1	Xcl1
1121	CPI-SS0B6F0C894	Q14126	Q14574	DSG2_HUMAN	DSC3_HUMAN	curated	https://www.ncbi.nlm.nih.gov/pubmed/27298358	DSG2	DSC3	Dsg2	Dsc3
1122	CPI-SS0B70EB09E	P04085	P16234	PDGFA_HUMAN	PGFRA_HUMAN	curated	uniprot	PDGFA	PDGFRA	Pdgfa	Pdgfra
1123	CPI-SS0B784A03E	P22362	P51685	CCL1_HUMAN	CCR8_HUMAN	curated	PMID: 24218476	CCL1	CCR8	Ccl1	Ccr8
1125	CPI-SS0B7BC0E4D	O00175	P41597	CCL24_HUMAN	CCR2_HUMAN	guidetopharmacology.org		CCL24	CCR2	Ccl24	Ccr2
1126	CPI-SS0B8083B44	P56706	Q9ULV1	WNT7B_HUMAN	FZD4_HUMAN	curated	PMID: 24032637	WNT7B	FZD4	Wnt7b	Fzd4
1127	CPI-SS0B81F1BF5	P01375	Q9C0C4	TNFA_HUMAN	SEM4C_HUMAN	InnateDB-All		TNF	SEMA4C	Tnf	Sema4c
1129	CPI-SS0B87FE6E0	P46531	P78504	NOTC1_HUMAN	JAG1_HUMAN	curated	PMID: 22353464	NOTCH1	JAG1	Notch1	Jag1
1130	CPI-SS0B887F7AC	P32246	Q99616	CCR1_HUMAN	CCL13_HUMAN	guidetopharmacology.org		CCR1	CCL13	Ccr1	Ccl2
1131	CPI-SS0B89DD8C1	O75888	Q02223	TNF13_HUMAN	TNR17_HUMAN	curated	uniprot	TNFSF13	TNFRSF17	Tnfsf13	Tnfrsf17
1132	CPI-SS0B990492C	Q9BY67	Q9NQS3	CADM1_HUMAN	PVRL3_HUMAN	curated	uniprot	CADM1	NECTIN3	Cadm1	Nectin3
1133	CPI-SS0B99F22A2	P78504	Q9UM47	JAG1_HUMAN	NOTC3_HUMAN	curated	PMID: 22353464	JAG1	NOTCH3	Jag1	Notch3
1134	CPI-SS0B9B3870A	P15692	P17948	VEGFA_HUMAN	VGFR1_HUMAN	curated	uniprot	VEGFA	FLT1	Vegfa	Flt1
1136	CPI-SS0B9E8C0DE	P29323	P52799	EPHB2_HUMAN	EFNB2_HUMAN	curated	PMID: 15114347	EPHB2	EFNB2	Ephb2	Efnb2
1137	CPI-SS0BA3A1C3A	P08138	P34130	TNR16_HUMAN	NTF4_HUMAN	curated	uniprot	NGFR	NTF4	Ngfr	Ntf5
1138	CPI-SS0BA601DC4	P23560	Q16620	BDNF_HUMAN	NTRK2_HUMAN	curated	uniprot	BDNF	NTRK2	Bdnf	Ntrk2
1139	CPI-SS0BA87E94E	Q6UXV0	Q99988	GFRAL_HUMAN	GDF15_HUMAN	guidetopharmacology.org		GFRAL	GDF15	Gfral	Gdf15
1140	CPI-SS0BAB460FF	O15123	Q02763	ANGP2_HUMAN	TIE2_HUMAN	curated	uniprot	ANGPT2	TEK	Angpt2	Tek
1142	CPI-SS0BC884A75	P83859	Q96P65	OX26_HUMAN	QRFPR_HUMAN	guidetopharmacology.org		QRFP	QRFPR	Qrfp	Qrfpr
1143	CPI-SS0BC9F7E9E	O60258	P22607	FGF17_HUMAN	FGFR3_HUMAN	I2D		FGF17	FGFR3	Fgf17	Fgfr3
1144	CPI-SS0BCCDFA7A	P43490	Q14627	NAMPT_HUMAN	I13R2_HUMAN	InnateDB-All		NAMPT	IL13RA2	Nampt	Il13ra2
1147	CPI-SS0BDA7A63E	P48145	Q8N729	NPBW1_HUMAN	NPW_HUMAN	guidetopharmacology.org		NPBWR1	NPW	Npbwr1	Npw
1148	CPI-SS0BDC04683	P13688	P16581	CEAM1_HUMAN	LYAM2_HUMAN	curated	https://www.ncbi.nlm.nih.gov/pubmed/1378450	CEACAM1	SELE	Ceacam1	Sele
1150	CPI-SS0BE567EFB	P22466	P47211	GALA_HUMAN	GALR1_HUMAN	guidetopharmacology.org		GAL	GALR1	Gal	Galr1
1151	CPI-SS0BE6DBE1A	P01189	P33032	COLI_HUMAN	MC5R_HUMAN	guidetopharmacology.org		POMC	MC5R	Pomc	Mc5r
1153	CPI-SS0BEAB521F	P29320	P52803	EPHA3_HUMAN	EFNA5_HUMAN	curated	PMID: 15114347	EPHA3	EFNA5	Epha3	Efna5
1154	CPI-SS0BF3ED143	P21802	P22607	FGFR2_HUMAN	FGFR3_HUMAN	IMEx,InnateDB-All		FGFR2	FGFR3	Fgfr2	Fgfr3
1155	CPI-SS0BF490275	P11362	Q9UEF7	FGFR1_HUMAN	KLOT_HUMAN	I2D		FGFR1	KL	Fgfr1	Kl
1157	CPI-SS0BFB29A42	O15031	P21246	PLXB2_HUMAN	PTN_HUMAN	I2D,IMEx,InnateDB-All,IntAct		PLXNB2	PTN	Plxnb2	Ptn
1158	CPI-SS0BFD8E056	P52799	P54762	EFNB2_HUMAN	EPHB1_HUMAN	curated	PMID: 15114347	EFNB2	EPHB1	Efnb2	Ephb1
1159	CPI-SS0C03F7CDC	P15692	P35968	VEGFA_HUMAN	VGFR2_HUMAN	curated	uniprot	VEGFA	KDR	Vegfa	Kdr
1161	CPI-SS0C0A61F92	O15031	Q9NTN9	PLXB2_HUMAN	SEM4G_HUMAN	curated	uniprot	PLXNB2	SEMA4G	Plxnb2	Sema4g
1162	CPI-SS0C0E2C69C	P01189	Q01718	COLI_HUMAN	ACTHR_HUMAN	I2D		POMC	MC2R	Pomc	Mc2r
1163	CPI-SS0C10824C7	P00533	Q99075	EGFR_HUMAN	HBEGF_HUMAN	curated	uniprot	EGFR	HBEGF	Egfr	Hbegf
1165	CPI-SS0C1BD22BC	P10451	P35408	OSTP_HUMAN	PE2R4_HUMAN	IMEx,MINT		SPP1	PTGER4	Spp1	Ptger4
1167	CPI-SS0C2000B56	P01298	Q15761	PAHO_HUMAN	NPY5R_HUMAN	guidetopharmacology.org		PPY	NPY5R	Ppy	Npy5r
1168	CPI-SS0C23EF34B	P13591	P39905	NCAM1_HUMAN	GDNF_HUMAN	I2D		NCAM1	GDNF	Ncam1	Gdnf
1169	CPI-SS0C2437E0D	O43927	P32302	CXL13_HUMAN	CXCR5_HUMAN	curated	PMID: 24218476	CXCL13	CXCR5	Cxcl13	Cxcr5
1170	CPI-SS0C2561156	P09544	Q9ULV1	WNT2_HUMAN	FZD4_HUMAN	curated	PMID: 24032637	WNT2	FZD4	Wnt2	Fzd4
1171	CPI-SS0C28FEC7D	O75888	Q92956	TNF13_HUMAN	TNR14_HUMAN	I2D,InnateDB-All		TNFSF13	TNFRSF14	Tnfsf13	Tnfrsf14
1172	CPI-SS0C2A73A10	P11487	P22607	FGF3_HUMAN	FGFR3_HUMAN	I2D		FGF3	FGFR3	Fgf3	Fgfr3
1173	CPI-SS0C321CE6D	P25090	P49913	FPR2_HUMAN	CAMP_HUMAN	guidetopharmacology.org		FPR2	CAMP	Fpr2	Camp
1174	CPI-SS0C412B7DE	P32970	Q02223	CD70_HUMAN	TNR17_HUMAN	InnateDB-All		CD70	TNFRSF17	Cd70	Tnfrsf17
1176	CPI-SS0C4D54E39	Q9UM47	Q9Y219	NOTC3_HUMAN	JAG2_HUMAN	curated	PMID: 22353464	NOTCH3	JAG2	Notch3	Jag2
1177	CPI-SS0C4E86714	P20333	P28799	TNR1B_HUMAN	GRN_HUMAN	IMEx,InnateDB-All,MINT		TNFRSF1B	GRN	Tnfrsf1b	Grn
1179	CPI-SS0C56C483F	P41221	Q9H6X2	WNT5A_HUMAN	ANTR1_HUMAN	InnateDB-All		WNT5A	ANTXR1	Wnt5a	Antxr1
1180	CPI-SS0C5E9FBFB	Q15223	Q9NQS3	PVRL1_HUMAN	PVRL3_HUMAN	curated	https://www.ncbi.nlm.nih.gov/pubmed/12740392/	NECTIN1	NECTIN3	Nectin1	Nectin3
1183	CPI-SS0C6448B94	P01584	P07550	IL1B_HUMAN	ADRB2_HUMAN	I2D		IL1B	ADRB2	Il1b	Adrb2
1184	CPI-SS0C694CB44	P15692	Q13224	VEGFA_HUMAN	NMDE2_HUMAN	I2D		VEGFA	GRIN2B	Vegfa	Grin2b
1186	CPI-SS0C7833961	P01222	P16473	TSHB_HUMAN	TSHR_HUMAN	I2D		TSHB	TSHR	Tshb	Tshr
1187	CPI-SS0C7915758	P25025	P80162	CXCR2_HUMAN	CXCL6_HUMAN	curated	PMID: 24218476	CXCR2	CXCL6	Cxcr2	Cxcl5
1188	CPI-SS0C849D294	Q5H8A3	Q9GZQ4	NMS_HUMAN	NMUR2_HUMAN	guidetopharmacology.org		NMS	NMUR2	Nms	Nmur2
1190	CPI-SS0C85BC9AF	P07225	P30530	PROS_HUMAN	UFO_HUMAN	guidetopharmacology.org		PROS1	AXL	Pros1	Axl
1191	CPI-SS0C875BA24	O43921	P29320	EFNA2_HUMAN	EPHA3_HUMAN	curated	PMID: 15114347	EFNA2	EPHA3	Efna2	Epha3
1192	CPI-SS0C8A09915	P01282	P32241	VIP_HUMAN	VIPR1_HUMAN	guidetopharmacology.org		VIP	VIPR1	Vip	Vipr1
1193	CPI-SS0C916344D	P01185	P30559	NEU2_HUMAN	OXYR_HUMAN	I2D		AVP	OXTR	Avp	Oxtr
1194	CPI-SS0C9696AAA	O95727	Q9BY67	CRTAM_HUMAN	CADM1_HUMAN	curated	uniprot	CRTAM	CADM1	Crtam	Cadm1
1195	CPI-SS0C98C08DA	P41597	Q99616	CCR2_HUMAN	CCL13_HUMAN	curated	PMID: 24218476	CCR2	CCL13	Ccr2	Ccl2
1196	CPI-SS0CA020C34	P56705	Q9UP38	WNT4_HUMAN	FZD1_HUMAN	I2D		WNT4	FZD1	Wnt4	Fzd1
1197	CPI-SS0CB2E8B21	P51671	Q9NPB9	CCL11_HUMAN	ACKR4_HUMAN	I2D		CCL11	ACKR4	Ccl11	Ackr4
1198	CPI-SS0CB4F2FE4	P01127	Q8WXG9	PDGFB_HUMAN	GPR98_HUMAN	InnateDB-All		PDGFB	ADGRV1	Pdgfb	Adgrv1
1199	CPI-SS0CB6968B9	P09038	Q8N441	FGF2_HUMAN	FGRL1_HUMAN	I2D		FGF2	FGFRL1	Fgf2	Fgfrl1
1200	CPI-SS0CB863B46	P41221	Q15262	WNT5A_HUMAN	PTPRK_HUMAN	InnateDB-All		WNT5A	PTPRK	Wnt5a	Ptprk
1203	CPI-SS0CBC7840D	P08575	P20273	PTPRC_HUMAN	CD22_HUMAN	curated	https://www.ncbi.nlm.nih.gov/pubmed/12115612/	PTPRC	CD22	Ptprc	Cd22
1204	CPI-SS0CC136A8D	O00253	P33032	AGRP_HUMAN	MC5R_HUMAN	guidetopharmacology.org		AGRP	MC5R	Agrp	Mc5r
1205	CPI-SS0CC5DCE80	P12830	Q96E93	CADH1_HUMAN	KLRG1_HUMAN	curated	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3030123/	CDH1	KLRG1	Cdh1	Klrg1
1207	CPI-SS0CC898553	P21802	Q15256	FGFR2_HUMAN	PTPRR_HUMAN	InnateDB-All		FGFR2	PTPRR	Fgfr2	Ptprr
1209	CPI-SS0CCCF7C69	O43157	Q92854	PLXB1_HUMAN	SEM4D_HUMAN	curated	PMID: 22325954	PLXNB1	SEMA4D	Plxnb1	Sema4d
1210	CPI-SS0CCD89E02	O15444	Q9NPB9	CCL25_HUMAN	ACKR4_HUMAN	curated	PMID: 24218476	CCL25	ACKR4	Ccl25	Ackr4
1212	CPI-SS0CDAC688B	P19875	P27487	CXCL2_HUMAN	DPP4_HUMAN	curated	PMID: 24218476	CXCL2	DPP4	Cxcl1	Dpp4
1213	CPI-SS0CF0E4DE9	P13500	P41597	CCL2_HUMAN	CCR2_HUMAN	curated	PMID: 24218476	CCL2	CCR2	Ccl12	Ccr2
1214	CPI-SS0D00AAD2F	Q13591	Q9ULL4	SEM5A_HUMAN	PLXB3_HUMAN	curated	uniprot	SEMA5A	PLXNB3	Sema5a	Plxnb3
1215	CPI-SS0D0252D87	P30530	Q13261	UFO_HUMAN	I15RA_HUMAN	I2D		AXL	IL15RA	Axl	Il15ra
1216	CPI-SS0D03910A0	O43603	Q9UBC7	GALR2_HUMAN	GALP_HUMAN	guidetopharmacology.org		GALR2	GALP	Galr2	Galp
1217	CPI-SS0D04AE221	P19876	P25024	CXCL3_HUMAN	CXCR1_HUMAN	I2D		CXCL3	CXCR1	Cxcl2	Cxcr1
1218	CPI-SS0D1AE5C79	P22607	P54764	FGFR3_HUMAN	EPHA4_HUMAN	I2D,InnateDB-All		FGFR3	EPHA4	Fgfr3	Epha4
1219	CPI-SS0D1D95883	P13236	P51681	CCL4_HUMAN	CCR5_HUMAN	curated	uniprot	CCL4	CCR5	Ccl4	Ccr5
1220	CPI-SS0D22A09AD	O60462	P49763	NRP2_HUMAN	PLGF_HUMAN	curated	uniprot	NRP2	PGF	Nrp2	Pgf
1223	CPI-SS0D34B5517	O00590	Q9Y4X3	ACKR2_HUMAN	CCL27_HUMAN	I2D		ACKR2	CCL27	Ackr2	Ccl27b
1224	CPI-SS0D377BBBF	P18509	P27487	PACA_HUMAN	DPP4_HUMAN	InnateDB-All,MINT		ADCYAP1	DPP4	Adcyap1	Dpp4
1225	CPI-SS0D37C7C70	P80370	Q99466	DLK1_HUMAN	NOTC4_HUMAN	curated	PMID: 22353464	DLK1	NOTCH4	Dlk1	Notch4
1226	CPI-SS0D3A5646A	P04808	Q8WXD0	REL1_HUMAN	RXFP2_HUMAN	guidetopharmacology.org		RLN1	RXFP2	Rln1	Rxfp2
1228	CPI-SS0D41C7AF5	P54762	Q15768	EPHB1_HUMAN	EFNB3_HUMAN	curated	PMID: 15114347	EPHB1	EFNB3	Ephb1	Efnb3
1229	CPI-SS0D41E15AC	O15552	O95393	FFAR2_HUMAN	BMP10_HUMAN	IMEx,IntAct		FFAR2	BMP10	Ffar2	Bmp10
1231	CPI-SS0D46E2B45	P10600	Q03167	TGFB3_HUMAN	TGBR3_HUMAN	curated	uniprot	TGFB3	TGFBR3	Tgfb3	Tgfbr3
1232	CPI-SS0D4BF6CA3	P26842	P32970	CD27_HUMAN	CD70_HUMAN	curated	activating interaction for NK and T cells. uniprot & PMID: 26697006	CD27	CD70	Cd27	Cd70
1233	CPI-SS0D4C221B8	P05362	P15514	ICAM1_HUMAN	AREG_HUMAN	InnateDB-All		ICAM1	AREG	Icam1	Areg
1234	CPI-SS0D4CA5D92	O76093	P22455	FGF18_HUMAN	FGFR4_HUMAN	I2D		FGF18	FGFR4	Fgf18	Fgfr4
1235	CPI-SS0D4F593F1	P41221	Q15375	WNT5A_HUMAN	EPHA7_HUMAN	InnateDB-All		WNT5A	EPHA7	Wnt5a	Epha7
1236	CPI-SS0D529E576	Q13224	Q14005	NMDE2_HUMAN	IL16_HUMAN	I2D		GRIN2B	IL16	Grin2b	Il16
1237	CPI-SS0D53B88CC	P27037	P55103	AVR2A_HUMAN	INHBC_HUMAN	curated	PMID: 22710174	ACVR2A	INHBC	Acvr2a	Inhbc
1239	CPI-SS0D5C54214	P01374	Q13546	TNFB_HUMAN	RIPK1_HUMAN	IMEx,InnateDB-All,MINT		LTA	RIPK1	Lta	Ripk1
1240	CPI-SS0D5DBB634	P52797	Q15375	EFNA3_HUMAN	EPHA7_HUMAN	curated	PMID: 15114347	EFNA3	EPHA7	Efna3	Epha7
1241	CPI-SS0D5E1C3D2	P48145	Q8NG41	NPBW1_HUMAN	NPB_HUMAN	guidetopharmacology.org		NPBWR1	NPB	Npbwr1	Npb
1242	CPI-SS0D5E30C6C	P56975	Q15303	NRG3_HUMAN	ERBB4_HUMAN	curated	uniprot	NRG3	ERBB4	Nrg3	Erbb4
1243	CPI-SS0D636A374	P09038	P22607	FGF2_HUMAN	FGFR3_HUMAN	curated	uniprot	FGF2	FGFR3	Fgf2	Fgfr3
1244	CPI-SS0D67110B0	P08620	P21802	FGF4_HUMAN	FGFR2_HUMAN	I2D		FGF4	FGFR2	Fgf4	Fgfr2
1245	CPI-SS0D782F60B	P56705	Q9H461	WNT4_HUMAN	FZD8_HUMAN	I2D		WNT4	FZD8	Wnt4	Fzd8
1246	CPI-SS0D795AC00	P00533	P26441	EGFR_HUMAN	CNTF_HUMAN	InnateDB-All		EGFR	CNTF	Egfr	Cntf
1247	CPI-SS0D8148841	P35414	Q9ULZ1	APJ_HUMAN	APEL_HUMAN	guidetopharmacology.org		APLNR	APLN	Aplnr	Apln
1248	CPI-SS0D81C6C1D	P56706	Q9UP38	WNT7B_HUMAN	FZD1_HUMAN	curated	PMID: 24032637	WNT7B	FZD1	Wnt7b	Fzd1
1249	CPI-SS0D81D9F5E	O43921	P54756	EFNA2_HUMAN	EPHA5_HUMAN	curated	PMID: 15114347	EFNA2	EPHA5	Efna2	Epha5
1250	CPI-SS0D87F8BD7	P01270	P49190	PTHY_HUMAN	PTH2R_HUMAN	I2D,InnateDB-All		PTH	PTH2R	Pth	Pth2r
1251	CPI-SS0D883FFF1	O43915	P35916	VEGFD_HUMAN	VGFR3_HUMAN	curated	uniprot	VEGFD	FLT4	Vegfd	Flt4
1252	CPI-SS0D8972B21	P04628	P34925	WNT1_HUMAN	RYK_HUMAN	I2D		WNT1	RYK	Wnt1	Ryk
1253	CPI-SS0D9366D11	P05230	P22455	FGF1_HUMAN	FGFR4_HUMAN	I2D,IMEx,InnateDB-All,IntAct		FGF1	FGFR4	Fgf1	Fgfr4
1254	CPI-SS0D954EA1C	P09619	Q9GZP0	PGFRB_HUMAN	PDGFD_HUMAN	curated	uniprot	PDGFRB	PDGFD	Pdgfrb	Pdgfd
1255	CPI-SS0D95D41D6	P21781	P22455	FGF7_HUMAN	FGFR4_HUMAN	I2D		FGF7	FGFR4	Fgf7	Fgfr4
1256	CPI-SS0D99CC068	P22607	P55075	FGFR3_HUMAN	FGF8_HUMAN	I2D,IMEx,InnateDB-All		FGFR3	FGF8	Fgfr3	Fgf8
1258	CPI-SS0D9EFC4F7	P01148	P30968	GON1_HUMAN	GNRHR_HUMAN	I2D		GNRH1	GNRHR	Gnrh1	Gnrhr
1259	CPI-SS0DA033F03	P19438	P28799	TNR1A_HUMAN	GRN_HUMAN	IMEx,InnateDB-All,MINT		TNFRSF1A	GRN	Tnfrsf1a	Grn
1260	CPI-SS0DA291AD9	O95800	P13501	GPR75_HUMAN	CCL5_HUMAN	guidetopharmacology.org		GPR75	CCL5	Gpr75	Ccl5
1261	CPI-SS0DA366C78	P29323	Q15768	EPHB2_HUMAN	EFNB3_HUMAN	curated	PMID: 15114347	EPHB2	EFNB3	Ephb2	Efnb3
1263	CPI-SS0DBA4D668	P27487	P48061	DPP4_HUMAN	SDF1_HUMAN	curated	PMID: 24218476	DPP4	CXCL12	Dpp4	Cxcl12
1265	CPI-SS0DBFB8BEA	P13500	Q16570	CCL2_HUMAN	ACKR1_HUMAN	curated	PMID: 24218476	CCL2	ACKR1	Ccl12	Ackr1
1266	CPI-SS0DC2A6D35	P05231	P35367	IL6_HUMAN	HRH1_HUMAN	IMEx,InnateDB-All,IntAct		IL6	HRH1	Il6	Hrh1
1267	CPI-SS0DC2DD9D7	P40225	P40238	TPO_HUMAN	TPOR_HUMAN	curated	uniprot	THPO	MPL	Thpo	Mpl
1268	CPI-SS0DC322B61	P08922	P21802	ROS1_HUMAN	FGFR2_HUMAN	I2D		ROS1	FGFR2	Ros1	Fgfr2
1269	CPI-SS0DC4D593E	O15197	P98172	EPHB6_HUMAN	EFNB1_HUMAN	curated	PMID: 15114347	EPHB6	EFNB1	Ephb6	Efnb1
1270	CPI-SS0DC5ADBF1	P04628	Q9UP38	WNT1_HUMAN	FZD1_HUMAN	curated	PMID: 24032637	WNT1	FZD1	Wnt1	Fzd1
1271	CPI-SS0DCA69916	O14836	O75888	TR13B_HUMAN	TNF13_HUMAN	curated	uniprot	TNFRSF13B	TNFSF13	Tnfrsf13b	Tnfsf13
1272	CPI-SS0DCA749B0	O75473	Q9BXY4	LGR5_HUMAN	RSPO3_HUMAN	guidetopharmacology.org		LGR5	RSPO3	Lgr5	Rspo3
1273	CPI-SS0DD547726	P41597	P51671	CCR2_HUMAN	CCL11_HUMAN	guidetopharmacology.org		CCR2	CCL11	Ccr2	Ccl11
1274	CPI-SS0DE0A486F	O14786	P15692	NRP1_HUMAN	VEGFA_HUMAN	curated	uniprot	NRP1	VEGFA	Nrp1	Vegfa
1275	CPI-SS0DEDA3567	P50591	Q13546	TNF10_HUMAN	RIPK1_HUMAN	InnateDB-All		TNFSF10	RIPK1	Tnfsf10	Ripk1
1276	CPI-SS0DEF5D0CE	P01229	P22888	LSHB_HUMAN	LSHR_HUMAN	I2D		LHB	LHCGR	Lhb	Lhcgr
1277	CPI-SS0DF162C10	P29322	P52797	EPHA8_HUMAN	EFNA3_HUMAN	curated	PMID: 15114347	EPHA8	EFNA3	Epha8	Efna3
1278	CPI-SS0DF5E47DB	Q96QR1	Q9UEW3	SG3A1_HUMAN	MARCO_HUMAN	I2D,InnateDB-All		SCGB3A1	MARCO	Scgb3a1	Marco
1279	CPI-SS0DFA98A14	P07333	Q6ZMJ4	CSF1R_HUMAN	IL34_HUMAN	curated	uniprot	CSF1R	IL34	Csf1r	Il34
1281	CPI-SS0E00478B4	O60462	P15692	NRP2_HUMAN	VEGFA_HUMAN	curated	uniprot	NRP2	VEGFA	Nrp2	Vegfa
1282	CPI-SS0E063192D	O14511	Q15303	NRG2_HUMAN	ERBB4_HUMAN	curated	uniprot	NRG2	ERBB4	Nrg2	Erbb4
1284	CPI-SS0E0BCE16F	P11362	P12034	FGFR1_HUMAN	FGF5_HUMAN	I2D,InnateDB-All		FGFR1	FGF5	Fgfr1	Fgf5
1285	CPI-SS0E0DEA7D5	P16284	P28907	PECA1_HUMAN	CD38_HUMAN	curated	https://www.ncbi.nlm.nih.gov/pubmed/9551996,https://www.ncbi.nlm.nih.gov/pubmed/26407101	PECAM1	CD38	Pecam1	Cd38
1286	CPI-SS0E134097C	O76093	P22607	FGF18_HUMAN	FGFR3_HUMAN	I2D		FGF18	FGFR3	Fgf18	Fgfr3
1287	CPI-SS0E1389B57	Q15848	Q8TDT2	ADIPO_HUMAN	GP152_HUMAN	IMEx,IntAct		ADIPOQ	GPR152	Adipoq	Gpr152
1288	CPI-SS0E1A8414D	P80370	Q04721	DLK1_HUMAN	NOTC2_HUMAN	curated	PMID: 22353464	DLK1	NOTCH2	Dlk1	Notch2
1290	CPI-SS0E2431C09	Q15116	Q92520	PDCD1_HUMAN	FAM3C_HUMAN	InnateDB-All		PDCD1	FAM3C	Pdcd1	Fam3c
1291	CPI-SS0E25CE362	P00533	P01135	EGFR_HUMAN	TGFA_HUMAN	curated	uniprot	EGFR	TGFA	Egfr	Tgfa
1292	CPI-SS0E2863F09	Q02223	Q9Y275	TNR17_HUMAN	TN13B_HUMAN	curated	uniprot	TNFRSF17	TNFSF13B	Tnfrsf17	Tnfsf13b
1294	CPI-SS0E32BEF02	P41221	Q13467	WNT5A_HUMAN	FZD5_HUMAN	curated	PMID: 24032637	WNT5A	FZD5	Wnt5a	Fzd5
1295	CPI-SS0E41702C1	P05019	P08069	IGF1_HUMAN	IGF1R_HUMAN	curated	uniprot	IGF1	IGF1R	Igf1	Igf1r
1296	CPI-SS0E4B1484B	O75144	Q9Y6W8	ICOSL_HUMAN	ICOS_HUMAN	curated	important for T follicular helper cells (Tfh) and type 2 T helper cell (Th2) responses. Reviewed in PMID: 23954143	ICOSLG	ICOS	Icosl	Icos
1297	CPI-SS0E4DE8215	P09544	Q9UP38	WNT2_HUMAN	FZD1_HUMAN	I2D		WNT2	FZD1	Wnt2	Fzd1
1298	CPI-SS0E5397537	Q2MKA7	Q9HBX8	RSPO1_HUMAN	LGR6_HUMAN	guidetopharmacology.org		RSPO1	LGR6	Rspo1	Lgr6
1301	CPI-SS0E61DB5DF	P17948	P49763	VGFR1_HUMAN	PLGF_HUMAN	curated	uniprot	FLT1	PGF	Flt1	Pgf
1302	CPI-SS0E63AB61E	O43921	P54764	EFNA2_HUMAN	EPHA4_HUMAN	curated	PMID: 15114347	EFNA2	EPHA4	Efna2	Epha4
1303	CPI-SS0E654708F	P55089	Q13324	UCN1_HUMAN	CRFR2_HUMAN	guidetopharmacology.org		UCN	CRHR2	Ucn	Crhr2
1304	CPI-SS0E6E8A727	P04629	P53621	NTRK1_HUMAN	COPA_HUMAN	InnateDB-All		NTRK1	COPA	Ntrk1	Copa
1305	CPI-SS0E70DD97F	O60755	P22466	GALR3_HUMAN	GALA_HUMAN	guidetopharmacology.org		GALR3	GAL	Galr3	Gal
1306	CPI-SS0E7523314	P56703	Q9UP38	WNT3_HUMAN	FZD1_HUMAN	I2D		WNT3	FZD1	Wnt3	Fzd1
1307	CPI-SS0E7CBFD03	P41221	Q01974	WNT5A_HUMAN	ROR2_HUMAN	I2D		WNT5A	ROR2	Wnt5a	Ror2
1308	CPI-SS0E7D5974D	P01375	P20333	TNFA_HUMAN	TNR1B_HUMAN	curated	uniprot	TNF	TNFRSF1B	Tnf	Tnfrsf1b
1312	CPI-SS0E928B8C8	P21781	P21802	FGF7_HUMAN	FGFR2_HUMAN	I2D,IMEx,InnateDB-All,IntAct		FGF7	FGFR2	Fgf7	Fgfr2
1313	CPI-SS0E9A581F8	P05362	P20701	ICAM1_HUMAN	ITAL_HUMAN	curated	Reviewed in PMID: 23602662	ICAM1	ITGAL	Icam1	Itgal
1314	CPI-SS0E9F84F1F	O75610	P13385	LFTY1_HUMAN	TDGF1_HUMAN	curated	PMID: 22710174	LEFTY1	TDGF1	Lefty1	Tdgf1
1315	CPI-SS0EA05941A	P13501	P51679	CCL5_HUMAN	CCR4_HUMAN	curated	PMID: 24218476	CCL5	CCR4	Ccl5	Ccr4
1316	CPI-SS0EA96C304	P06307	P32238	CCKN_HUMAN	CCKAR_HUMAN	guidetopharmacology.org		CCK	CCKAR	Cck	Cckar
1318	CPI-SS0EB136379	P04628	P16671	WNT1_HUMAN	CD36_HUMAN	InnateDB		WNT1	CD36	Wnt1	Cd36
1319	CPI-SS0EB3C2743	Q92847	Q969E1	GHSR_HUMAN	LEAP2_HUMAN	guidetopharmacology.org		GHSR	LEAP2	Ghsr	Leap2
1320	CPI-SS0EB4002A2	P17342	P23582	ANPRC_HUMAN	ANFC_HUMAN	I2D,InnateDB-All		NPR3	NPPC	Npr3	Nppc
1321	CPI-SS0EB5364D4	Q9BXY4	Q9HBX8	RSPO3_HUMAN	LGR6_HUMAN	guidetopharmacology.org		RSPO3	LGR6	Rspo3	Lgr6
1322	CPI-SS0EB5AEC83	P14151	P28906	LYAM1_HUMAN	CD34_HUMAN	curated	https://www.ncbi.nlm.nih.gov/pubmed/7692600,https://www.ncbi.nlm.nih.gov/pubmed/8977216	SELL	CD34	Sell	Cd34
1323	CPI-SS0EBA5A4D8	O43915	P35968	VEGFD_HUMAN	VGFR2_HUMAN	curated	uniprot	VEGFD	KDR	Vegfd	Kdr
